# QIGOA reality-check | script=run_unet.py | experiment=main | data_source=brats | commit=6ef6d4e45c9669398de1c106d10ec700bb6d3ed2 | generated=2026-07-22T01:29:51
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
# A3: class B (learned) — OUT-OF-FOLD ONLY. Trained on all tumour slices of outer-train patients; scored on the single designated slice of held-out patients ('same input' is an INFERENCE constraint).
patient_id,target,method,method_class,fold,seed,checkpoint,dice,hd95,nsd,nsd_tau1,nsd_tau3,nsd_tau5,n_components,empty_mask,mask_hash,data_source,placeholder
BraTS20_Training_160,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9408473221422862,7.0710678118654755,0.7873303167420814,0.5633484162895928,0.8936651583710408,0.920814479638009,2,0,bf7eb1796169e8e5dcc8448c1165dd55ba0a04669d617dcfff07f2d8bb4baed7,brats,0
BraTS20_Training_172,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.928607089365951,21.77529101109199,0.8353413654618473,0.7389558232931727,0.8955823293172691,0.927710843373494,2,0,13580c88c8cff658d6420143a59d64f22d2e7effa2d03b6cb69561d32cb22163,brats,0
BraTS20_Training_180,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.8580060422960725,60.37042892972084,0.6753407682775713,0.5365551425030979,0.7794299876084263,0.8426270136307311,4,0,dd969a4e77b81e3ee76d6ad2a779bba9782b54dbcea1518c43e194a228099f7b,brats,0
BraTS20_Training_181,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9420423183072677,2.23606797749979,0.9325153374233128,0.8139059304703476,0.9734151329243353,0.983640081799591,3,0,300322aeba2b59d592711b7da944317fdde18b4fafcda882d8dabb4f145b36ab,brats,0
BraTS20_Training_182,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9203659776347001,10.43326472375643,0.8005698005698005,0.7293447293447294,0.8404558404558404,0.8917378917378918,2,0,be92173166e056f95d4c33cbff50372e8a1051c6ca96a42f100f4653c23724c8,brats,0
BraTS20_Training_186,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9212573918456272,4.242640687119285,0.7687943262411348,0.5929078014184397,0.8893617021276595,0.9744680851063829,4,0,c86a2d5254166c0c41ed2a1cc04f0fbce6307b79a45ccb9a85206fa42c811662,brats,0
BraTS20_Training_188,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.8851674641148325,11.64364490745678,0.7026627218934911,0.5754437869822485,0.7736686390532544,0.8254437869822485,3,0,6241558c118799ca96818f7d762eaaa07ea880b23a86b6d6361ebcaf7c438031,brats,0
BraTS20_Training_190,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.7630390143737167,10.624959275074199,0.5426008968609866,0.4103139013452915,0.6816143497757847,0.827354260089686,5,0,d6ed2d46b60f01a5921038666dff8f5e0741c6c8c266a4d6832a11dbda97ca7c,brats,0
BraTS20_Training_194,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9450467289719626,9.219544457292887,0.7697841726618705,0.6187050359712231,0.8561151079136691,0.9184652278177458,1,0,d840621898b6f3e80b4fab2496bbf87e0011cadff33b58ccceb17e385d3b55e0,brats,0
BraTS20_Training_203,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.8209741114523914,45.968270948210716,0.6441717791411042,0.5141104294478528,0.7030674846625767,0.7668711656441718,2,0,bb1f9942ccaaca5b07391d11b07a629d52b6644e4b5ce3ff92169f33416eff45,brats,0
BraTS20_Training_208,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9179247872632446,7.211102550927978,0.7670299727520435,0.5953678474114441,0.8501362397820164,0.9168937329700273,1,0,8ebbf9ecf2597a49f2a9ee4d30e756647f5a95f522ef89103a0750212ff74415,brats,0
BraTS20_Training_220,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9076205287713841,8.704111011190173,0.7161961367013373,0.5586924219910847,0.799405646359584,0.8974739970282318,2,0,c55feda497440b5723d7fb8b34ce55779e95f07c362a03157e30eda947a93e7d,brats,0
BraTS20_Training_221,wt_flair,2D-UNet,B: learned (out-of-fold only),0,0,/kaggle/working/qigoa/results/main/checkpoints/unet_fold0_seed0.pt,0.9294169224024551,3.1622776601683795,0.8418367346938775,0.7040816326530612,0.935374149659864,0.9931972789115646,4,0,9ef44ce30444d5fc001d3bbf031f0d6a6fd9ed3f37b370d74e5b7cc471bf667c,brats,0
