# QIGOA reality-check | script=run_ceiling.py::_summarise | experiment=ceiling | data_source=brats | commit=1461520d7785c65a06704e47ba229ddde0b2d9ff | generated=2026-07-17T18:31:26
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
target,include_zero_bg,method,method_class,n_patients,dice_median,dice_q1,dice_q3,dice_ci_low,dice_ci_high,hd95_median,nsd_median,n_components_median,empty_mask_rate,placeholder
wt_flair,na,kmeans,A: unsupervised per-image,368,0.28894367711076474,0.2049321612079834,0.3706400680215469,0.27309970148263407,0.3050396004061384,74.2327401922521,0.07113667862950145,10.0,0.0,0
wt_flair,na,otsu,A: unsupervised per-image,368,0.28894367711076474,0.2049321612079834,0.3706400680215469,0.27309970148263407,0.3050396004061384,74.2327401922521,0.07113667862950145,10.0,0.0,0
wt_flair,true,P5-percentile@n5,B: learned (out-of-fold only),368,0.6778579279662369,0.5499012659353656,0.7889954900990289,0.65019423022742,0.7078739211653082,47.19229194413738,0.3432419976537624,59.0,0.0,0
wt_flair,false,P5-percentile@n5,B: learned (out-of-fold only),368,0.6789448258286169,0.5657471954530348,0.7972270135850943,0.6571593942620817,0.7095593716264627,41.004419757181566,0.3598426604684427,49.0,0.0,0
wt_flair,false,P5-percentile@n10,B: learned (out-of-fold only),368,0.6825447807693839,0.5671385689382249,0.7919191565254045,0.6603569497025419,0.7067918666304328,34.6978070261211,0.3637247600132406,40.0,0.0,0
wt_flair,true,P5-percentile@n10,B: learned (out-of-fold only),368,0.7018818303099312,0.5784229288978029,0.7999761070829615,0.6749109986884018,0.7178690344062153,41.62839255715397,0.3631735082440798,51.0,0.0,0
wt_flair,true,P5-percentile@n20,B: learned (out-of-fold only),368,0.7065248729983157,0.5989085611851713,0.8028916840588172,0.6871887798803705,0.722096858184343,43.21403880133417,0.3742823398182474,54.0,0.0,0
wt_flair,true,P5-percentile@n50,B: learned (out-of-fold only),368,0.7096029245626472,0.6077096454663595,0.8152788566667419,0.6889441206225986,0.7240079008798707,45.86651529844015,0.3737444713939221,56.0,0.0,0
wt_flair,true,P5-percentile@n100,B: learned (out-of-fold only),368,0.7146656554757271,0.6079931876022333,0.8125796648750798,0.6923197246988894,0.7322044105930184,47.12116071438002,0.36973084999400785,60.5,0.0,0
wt_flair,false,P5-percentile@n20,B: learned (out-of-fold only),368,0.7149994138883242,0.6000997760252369,0.8080783589554698,0.6926520053697753,0.7295507427957759,42.529231810334664,0.3644149918522541,52.5,0.0,0
wt_flair,false,P5-percentile@n50,B: learned (out-of-fold only),368,0.7254448568178669,0.6115059039716748,0.8178965046631059,0.7046705071651849,0.7466593946004909,43.82171763206456,0.3731197202289036,55.5,0.0,0
wt_flair,false,P5-percentile@n100,B: learned (out-of-fold only),368,0.7323245766152341,0.617043887074164,0.8150846966361388,0.7110649286375055,0.7523419781944892,48.53046209325634,0.36868658807614263,61.0,0.0,0
wt_flair,true,P5-percentile,B: learned (out-of-fold only),368,0.7324281680789935,0.6035810850947874,0.8183839636344561,0.705991067560503,0.7498850574712643,51.9815471999473,0.3654819639633261,74.5,0.0,0
wt_flair,false,P5-percentile,B: learned (out-of-fold only),368,0.74654852211073,0.6092141056390372,0.8339369984074768,0.7163856463467358,0.7694459988808058,54.12425781365134,0.3845928561535171,80.5,0.0,0
wt_flair,na,oracle_interval,C: uses test-time ground truth,368,0.8482685278110191,0.7244168928349205,0.9109582704907522,0.8342343762576327,0.8706620144274799,47.877927630066765,0.5680744092508798,51.0,0.0,0
wt_flair,na,oracle_single,C: uses test-time ground truth,368,0.8482685278110191,0.7244168928349205,0.9109582704907522,0.8342343762576327,0.8706620144274799,47.86173010076851,0.5680744092508798,51.0,0.0,0
wt_flair,na,oracle_levelset,C: uses test-time ground truth,368,0.8531675155874223,0.732673688222403,0.9124343906448595,0.8357352705320926,0.8729472932479244,47.427790571155896,0.5666819307218863,60.5,0.0,0
