# QIGOA reality-check | script=run_ceiling.py (P5 q* — nested CV, A3) | experiment=ceiling | data_source=brats | commit=1461520d7785c65a06704e47ba229ddde0b2d9ff | generated=2026-07-17T18:31:20
# Provenance: numbers trace to this script + configs/*.yaml + the commit above (CLAUDE.md §5.3). Do not edit by hand.
target,include_zero_bg,fold,fit_size,label,q_star,train_dice_mean,n_train,n_test,test_dice_median,placeholder
et_t1ce,false,0,10,P5-percentile@n10,96.88484848484849,0.3160113010582425,10,74,0.4769752931656972,0
et_t1ce,false,0,20,P5-percentile@n20,96.88484848484849,0.4031861677694012,20,74,0.4769752931656972,0
et_t1ce,false,0,50,P5-percentile@n50,95.67878787878789,0.4100298504013448,50,74,0.48179302464921203,0
et_t1ce,false,0,100,P5-percentile@n100,95.67878787878789,0.4267368439081647,100,74,0.48179302464921203,0
et_t1ce,false,0,294,P5-percentile,95.07575757575758,0.43113281773605994,294,74,0.4577797618379135,0
et_t1ce,false,1,5,P5-percentile@n5,96.88484848484849,0.43995323738154835,5,74,0.45864813248727265,0
et_t1ce,false,1,10,P5-percentile@n10,96.88484848484849,0.33072151674254463,10,74,0.45864813248727265,0
et_t1ce,false,1,20,P5-percentile@n20,96.88484848484849,0.38620771632542533,20,74,0.45864813248727265,0
et_t1ce,false,1,50,P5-percentile@n50,96.88484848484849,0.4186476542012582,50,74,0.45864813248727265,0
et_t1ce,false,1,100,P5-percentile@n100,95.67878787878789,0.4360915964978612,100,74,0.47425872186409096,0
et_t1ce,false,1,294,P5-percentile,95.07575757575758,0.43190536171148175,294,74,0.4735566009967722,0
et_t1ce,false,2,5,P5-percentile@n5,96.68383838383839,0.4467969800371946,5,74,0.4297435387289402,0
et_t1ce,false,2,10,P5-percentile@n10,96.28181818181818,0.4270318531693104,10,74,0.431828686671047,0
et_t1ce,false,2,20,P5-percentile@n20,96.28181818181818,0.42414268706573466,20,74,0.431828686671047,0
et_t1ce,false,2,50,P5-percentile@n50,96.08080808080808,0.4228352571780213,50,74,0.4306804890800261,0
et_t1ce,false,2,100,P5-percentile@n100,95.47777777777779,0.4450703724246236,100,74,0.44218149501798,0
et_t1ce,false,2,294,P5-percentile,95.07575757575758,0.43540867443955306,294,74,0.43932526197816835,0
et_t1ce,false,3,5,P5-percentile@n5,96.88484848484849,0.33263189805121346,5,73,0.4988579259936044,0
et_t1ce,false,3,10,P5-percentile@n10,96.88484848484849,0.3049774044995033,10,73,0.4988579259936044,0
et_t1ce,false,3,20,P5-percentile@n20,96.88484848484849,0.368170977354136,20,73,0.4988579259936044,0
et_t1ce,false,3,50,P5-percentile@n50,95.87979797979798,0.3999715775639987,50,73,0.5179034769071095,0
et_t1ce,false,3,100,P5-percentile@n100,95.07575757575758,0.4208005434310774,100,73,0.5486443381180224,0
et_t1ce,false,3,295,P5-percentile,95.07575757575758,0.416041311909533,295,73,0.5486443381180224,0
et_t1ce,false,4,5,P5-percentile@n5,96.88484848484849,0.3685731764972705,5,73,0.523248605083695,0
et_t1ce,false,4,10,P5-percentile@n10,96.88484848484849,0.2950314863004057,10,73,0.523248605083695,0
et_t1ce,false,4,20,P5-percentile@n20,96.88484848484849,0.3336000904088795,20,73,0.523248605083695,0
et_t1ce,false,4,50,P5-percentile@n50,96.48282828282828,0.37792070107347814,50,73,0.5278298936835523,0
et_t1ce,false,4,100,P5-percentile@n100,95.47777777777779,0.43490397535532666,100,73,0.533498759305211,0
et_t1ce,false,4,295,P5-percentile,95.07575757575758,0.426350288666602,295,73,0.528152260111023,0
